ALBERTA VETERINARY SERVICES,3 ALBERTA AVE,(416) 651-1357
,"TORONTO, ON M6H 2R5",
ANIMAL HOSPITAL OF HIGH PARK,3194 DUNDAS ST W,(416) 763-4200
,"TORONTO, ON M6P 2A3",
ANNEX ANIMAL CLINIC,716 BATHURST ST,(416) 537-3128
,"TORONTO, ON M5S 2R4",
ASHBRIDGE'S BAY ANIMAL HOSPITAL,1392 GERRARD ST E,(416) 915-7387
,"TORONTO, ON M4L 2Z5",
BANKS ANIMAL HOSPITAL,230 COXWELL AVE,(416) 461-7575
,"TORONTO, ON M4L 3B2",
BATHURST ANIMAL CLINIC,352 WILSON AVE,(416) 635-9090
,"TORONTO, ON M3H 1S9",
BATHURST-DUPONT ANIMAL HOSP,1074 BATHURST ST,(416) 588-3056
,"TORONTO, ON M5R 3G9",
BAY CAT& DOG HOSPITAL,525 KING ST E,(416) 941-8920
,"TORONTO, ON M5A 1M3",
BAYVIEW ANIMAL HOSPITAL,1234 BAYVIEW AVE,(416) 425-2131
,"TORONTO, ON M4G 3A1",
BAYVIEW VILLAGE VETERINARY CLINIC,324 SHEPPARD AVE E,(416) 223-8080
,"TORONTO, ON M2N 3B4",
BAYVIEW YORK MILLS VETERINARY SERVICES,2655 BAYVIEW AVE,(416) 444-7387
,"TORONTO, ON M2L 1B8",
BEACHES ANIMAL HOSPITAL,2304 QUEEN ST E,(416) 690-4040
,"TORONTO, ON M4B 1G8",
BLACK'S TORONTO VETERINARY HOSPITAL,923 QUEEN ST E,(416) 466-7351
,"TORONTO, ON M4M 1J6",
BLOOR ANIMAL HOSPITAL,2387 BLOOR ST W,(416) 767-5817
,"TORONTO, ON M6S 1P6",
BLOOR WEST VILLAGE ANIMAL HOSPITAL,2100 BLOOR ST W,(416) 769-7867
,"TORONTO, ON M6S 1M7",
BLOORCOURT VETERINARY CLINIC,1079 BLOOR ST W,(416) 537-9677
,"TORONTO, ON M6H 1M5",
BLUE CROSS ANIMAL HOSPITAL,132 DANFORTH AVE,(416) 469-1121
,"TORONTO, ON M4K 1N1",
BOARDWALK ANIMAL HOSPITAL,2138 QUEEN ST E,(416) 693-1615
,"TORONTO, ON M4E 1E3",
